SI.No. ,DISTRICT,ASSEMBLY CONSTITUENY NAME,VILLAGE PANCHAYAT,BLOCK PANCHAYAT,CORRESPONDING PARLIAMENT CONSTITUENCY,DMK MEMBER / ALLIANCE REPRESENTATIVE
1,KANCHEEPURAM,Alandur,Ayyappanthangal,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
2,KANCHEEPURAM,Alandur,Gerugambakkam,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
3,KANCHEEPURAM,Alandur,Irandankattalai,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
4,KANCHEEPURAM,Alandur,Kovur,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
5,KANCHEEPURAM,Alandur,Kolapakkam,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
6,KANCHEEPURAM,Alandur,Mowlivakkam,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
7,KANCHEEPURAM,Alandur,Paraniputhur,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
8,KANCHEEPURAM,Alandur,Periyapanicheri,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
9,KANCHEEPURAM,Alandur,Thandalam,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
10,KANCHEEPURAM,Alandur,Tharapakkam,KUNDRATHUR,Sriperumbudur,T.M. Anbarasan
11,KANCHEEPURAM,Alandur,CowlBazar,THOMAS MALAI,Sriperumbudur,T.M. Anbarasan
12,KANCHEEPURAM,Alandur,Moovarasampattu,THOMAS MALAI,Sriperumbudur,T.M. Anbarasan
13,KANCHEEPURAM,Chengalpattu,Alapakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
14,KANCHEEPURAM,Chengalpattu,Anjur,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
15,KANCHEEPURAM,Chengalpattu,Appur,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
16,KANCHEEPURAM,Chengalpattu,Athur,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
17,KANCHEEPURAM,Chengalpattu,Chettipuniyam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
18,KANCHEEPURAM,Chengalpattu,Guruvanmedu,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
19,KANCHEEPURAM,Chengalpattu,Kunnavakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
20,KANCHEEPURAM,Chengalpattu,Kumizhi,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
21,KANCHEEPURAM,Chengalpattu,Kondamangalam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
22,KANCHEEPURAM,Chengalpattu,Kalvoy,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
23,KANCHEEPURAM,Chengalpattu,Kayarambedu,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
24,KANCHEEPURAM,Chengalpattu,Keerapakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
25,KANCHEEPURAM,Chengalpattu,Karunilam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
26,KANCHEEPURAM,Chengalpattu,Karanaipuducheri,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
27,KANCHEEPURAM,Chengalpattu,Kolathur,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
28,KANCHEEPURAM,Chengalpattu,Mannivakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
29,KANCHEEPURAM,Chengalpattu,Melamaiyur,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
30,KANCHEEPURAM,Chengalpattu,Nedugundram,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
31,KANCHEEPURAM,Chengalpattu,Nallambakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
32,KANCHEEPURAM,Chengalpattu,Ozhaloor,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
33,KANCHEEPURAM,Chengalpattu,Patravakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
34,KANCHEEPURAM,Chengalpattu,Pazhaveli,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
35,KANCHEEPURAM,Chengalpattu,Palur,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
36,KANCHEEPURAM,Chengalpattu,Pulipakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
37,KANCHEEPURAM,Chengalpattu,Perumattunallur,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
38,KANCHEEPURAM,Chengalpattu,Periyapotheri(PART),KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
39,KANCHEEPURAM,Chengalpattu,Singaperumal  Koil,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
40,KANCHEEPURAM,Chengalpattu,Reddipalayam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
41,KANCHEEPURAM,Chengalpattu,Thimmavaram,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
42,KANCHEEPURAM,Chengalpattu,Thenmelpakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
43,KANCHEEPURAM,Chengalpattu,Thiruvadisoolam(PART),KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
44,KANCHEEPURAM,Chengalpattu,Urapakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
45,KANCHEEPURAM,Chengalpattu,Unamancheri,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
46,KANCHEEPURAM,Chengalpattu,Vallam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
47,KANCHEEPURAM,Chengalpattu,Vandaloor,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
48,KANCHEEPURAM,Chengalpattu,Villiyambakkam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
49,KANCHEEPURAM,Chengalpattu,Veerapuram,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
50,KANCHEEPURAM,Chengalpattu,Vengadamangalam,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
51,KANCHEEPURAM,Chengalpattu,Venkatapuram,KATTANKOLATHUR,Kancheepuram,M.K.D. Karthik Dhandapani
52,KANCHEEPURAM,Cheyyur,Aminjikarai,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
53,KANCHEEPURAM,Cheyyur,Aayapakkam,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
54,KANCHEEPURAM,Cheyyur,Irumbulicheri,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
55,KANCHEEPURAM,Cheyyur,Edaiyathur,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
56,KANCHEEPURAM,Cheyyur,Killapakkam,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
57,KANCHEEPURAM,Cheyyur,Sooradimangalam,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
58,KANCHEEPURAM,Cheyyur,Nallathur,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
59,KANCHEEPURAM,Cheyyur,Naduvakkarai(PART),THIRUKALUKUNDRAM,Kancheepuram,M. Babu
60,KANCHEEPURAM,Cheyyur,Nerumbur,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
61,KANCHEEPURAM,Cheyyur,Pandur,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
62,KANCHEEPURAM,Cheyyur,Periyakattupakkam,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
63,KANCHEEPURAM,Cheyyur,Perumbedu,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
64,KANCHEEPURAM,Cheyyur,Pudupattinam,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
65,KANCHEEPURAM,Cheyyur,Lattur,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
66,KANCHEEPURAM,Cheyyur,Vallipuram,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
67,KANCHEEPURAM,Cheyyur,Vasuvasamudram,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
68,KANCHEEPURAM,Cheyyur,Vazhuvathur,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
69,KANCHEEPURAM,Cheyyur,Vayalur,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
70,KANCHEEPURAM,Cheyyur,Vengampakkam,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
71,KANCHEEPURAM,Cheyyur,Vittilapuram,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
72,KANCHEEPURAM,Cheyyur,Vilagam,THIRUKALUKUNDRAM,Kancheepuram,M. Babu
73,KANCHEEPURAM,Cheyyur,Adayalacheri,LATHUR,Kancheepuram,M. Babu
74,KANCHEEPURAM,Cheyyur,Aakkinaambedu,LATHUR,Kancheepuram,M. Babu
75,KANCHEEPURAM,Cheyyur,Ammanoor,LATHUR,Kancheepuram,M. Babu
76,KANCHEEPURAM,Cheyyur,Anaicut,LATHUR,Kancheepuram,M. Babu
77,KANCHEEPURAM,Cheyyur,Cheyyur,LATHUR,Kancheepuram,M. Babu
78,KANCHEEPURAM,Cheyyur,Iranyasithi,LATHUR,Kancheepuram,M. Babu
79,KANCHEEPURAM,Cheyyur,Kadalur,LATHUR,Kancheepuram,M. Babu
80,KANCHEEPURAM,Cheyyur,Kadukupattu,LATHUR,Kancheepuram,M. Babu
81,KANCHEEPURAM,Cheyyur,Kalkulam,LATHUR,Kancheepuram,M. Babu
82,KANCHEEPURAM,Cheyyur,Kanathur,LATHUR,Kancheepuram,M. Babu
83,KANCHEEPURAM,Cheyyur,Koovathur,LATHUR,Kancheepuram,M. Babu
84,KANCHEEPURAM,Cheyyur,Keelacheri,LATHUR,Kancheepuram,M. Babu
85,KANCHEEPURAM,Cheyyur,Kodur,LATHUR,Kancheepuram,M. Babu
86,KANCHEEPURAM,Cheyyur,Lathur,LATHUR,Kancheepuram,M. Babu
87,KANCHEEPURAM,Cheyyur,Mugaiyur,LATHUR,Kancheepuram,M. Babu
88,KANCHEEPURAM,Cheyyur,Nedumaram,LATHUR,Kancheepuram,M. Babu
89,KANCHEEPURAM,Cheyyur,Neelamangalam,LATHUR,Kancheepuram,M. Babu
90,KANCHEEPURAM,Cheyyur,Nelvoy,LATHUR,Kancheepuram,M. Babu
91,KANCHEEPURAM,Cheyyur,Nelvoypalayam,LATHUR,Kancheepuram,M. Babu
92,KANCHEEPURAM,Cheyyur,Nemandam,LATHUR,Kancheepuram,M. Babu
93,KANCHEEPURAM,Cheyyur,Nerkunapattu,LATHUR,Kancheepuram,M. Babu
94,KANCHEEPURAM,Cheyyur,Pachambakkam,LATHUR,Kancheepuram,M. Babu
95,KANCHEEPURAM,Cheyyur,Paramankeni,LATHUR,Kancheepuram,M. Babu
96,KANCHEEPURAM,Cheyyur,Paramesvaramangalam,LATHUR,Kancheepuram,M. Babu
97,KANCHEEPURAM,Cheyyur,Pavunjur,LATHUR,Kancheepuram,M. Babu
98,KANCHEEPURAM,Cheyyur,Periyavelikadu,LATHUR,Kancheepuram,M. Babu
99,KANCHEEPURAM,Cheyyur,Perumbakkam,LATHUR,Kancheepuram,M. Babu
100,KANCHEEPURAM,Cheyyur,Seekinankuppam,LATHUR,Kancheepuram,M. Babu
101,KANCHEEPURAM,Cheyyur,Seevadi,LATHUR,Kancheepuram,M. Babu
102,KANCHEEPURAM,Cheyyur,Sembur,LATHUR,Kancheepuram,M. Babu
103,KANCHEEPURAM,Cheyyur,Sengattur,LATHUR,Kancheepuram,M. Babu
104,KANCHEEPURAM,Cheyyur,Siruvangunam,LATHUR,Kancheepuram,M. Babu
105,KANCHEEPURAM,Cheyyur,Thandarai,LATHUR,Kancheepuram,M. Babu
106,KANCHEEPURAM,Cheyyur,Thattambattu,LATHUR,Kancheepuram,M. Babu
107,KANCHEEPURAM,Cheyyur,Thenpattinam,LATHUR,Kancheepuram,M. Babu
108,KANCHEEPURAM,Cheyyur,Thiruvathur,LATHUR,Kancheepuram,M. Babu
109,KANCHEEPURAM,Cheyyur,Thondamanallur,LATHUR,Kancheepuram,M. Babu
110,KANCHEEPURAM,Cheyyur,Vadakkuvayalur,LATHUR,Kancheepuram,M. Babu
111,KANCHEEPURAM,Cheyyur,Vadapattinam,LATHUR,Kancheepuram,M. Babu
112,KANCHEEPURAM,Cheyyur,Veerabogam,LATHUR,Kancheepuram,M. Babu
113,KANCHEEPURAM,Cheyyur,Vettakarakuppam,LATHUR,Kancheepuram,M. Babu
114,KANCHEEPURAM,Cheyyur,Agaram,CHITHAMUR,Kancheepuram,M. Babu
115,KANCHEEPURAM,Cheyyur,Amanthangaranai,CHITHAMUR,Kancheepuram,M. Babu
116,KANCHEEPURAM,Cheyyur,Ammanambakkam,CHITHAMUR,Kancheepuram,M. Babu
117,KANCHEEPURAM,Cheyyur,Arapedu,CHITHAMUR,Kancheepuram,M. Babu
118,KANCHEEPURAM,Cheyyur,Chinnakayapakkam,CHITHAMUR,Kancheepuram,M. Babu
119,KANCHEEPURAM,Cheyyur,Chithamur,CHITHAMUR,Kancheepuram,M. Babu
120,KANCHEEPURAM,Cheyyur,Chitharkadu,CHITHAMUR,Kancheepuram,M. Babu
121,KANCHEEPURAM,Cheyyur,Chunambedu,CHITHAMUR,Kancheepuram,M. Babu
122,KANCHEEPURAM,Cheyyur,Indalur,CHITHAMUR,Kancheepuram,M. Babu
123,KANCHEEPURAM,Cheyyur,Irumbuli,CHITHAMUR,Kancheepuram,M. Babu
124,KANCHEEPURAM,Cheyyur,Essur,CHITHAMUR,Kancheepuram,M. Babu
125,KANCHEEPURAM,Cheyyur,Kadukkalur,CHITHAMUR,Kancheepuram,M. Babu
126,KANCHEEPURAM,Cheyyur,Kalpattu,CHITHAMUR,Kancheepuram,M. Babu
127,KANCHEEPURAM,Cheyyur,Kayapakkam,CHITHAMUR,Kancheepuram,M. Babu
128,KANCHEEPURAM,Cheyyur,Keezhmaruvatthur,CHITHAMUR,Kancheepuram,M. Babu
129,KANCHEEPURAM,Cheyyur,23. Kolathur,CHITHAMUR,Kancheepuram,M. Babu
130,KANCHEEPURAM,Cheyyur,Mambakkam,CHITHAMUR,Kancheepuram,M. Babu
131,KANCHEEPURAM,Cheyyur,Mazhuvnangaranai,CHITHAMUR,Kancheepuram,M. Babu
132,KANCHEEPURAM,Cheyyur,Mealmaruvathur,CHITHAMUR,Kancheepuram,M. Babu
133,KANCHEEPURAM,Cheyyur,Mugunthagiri,CHITHAMUR,Kancheepuram,M. Babu
134,KANCHEEPURAM,Cheyyur,Nergunam,CHITHAMUR,Kancheepuram,M. Babu
135,KANCHEEPURAM,Cheyyur,Nugumbal,CHITHAMUR,Kancheepuram,M. Babu
136,KANCHEEPURAM,Cheyyur,Parukal,CHITHAMUR,Kancheepuram,M. Babu
137,KANCHEEPURAM,Cheyyur,Periyakalakkadi,CHITHAMUR,Kancheepuram,M. Babu
138,KANCHEEPURAM,Cheyyur,Peramkbakkam,CHITHAMUR,Kancheepuram,M. Babu
139,KANCHEEPURAM,Cheyyur,Perukkaranai,CHITHAMUR,Kancheepuram,M. Babu
140,KANCHEEPURAM,Cheyyur,Polambakkam,CHITHAMUR,Kancheepuram,M. Babu
141,KANCHEEPURAM,Cheyyur,Pondur,CHITHAMUR,Kancheepuram,M. Babu
142,KANCHEEPURAM,Cheyyur,Pongunam,CHITHAMUR,Kancheepuram,M. Babu
143,KANCHEEPURAM,Cheyyur,Poraiyur,CHITHAMUR,Kancheepuram,M. Babu
144,KANCHEEPURAM,Cheyyur,Porur,CHITHAMUR,Kancheepuram,M. Babu
145,KANCHEEPURAM,Cheyyur,Puliyani,CHITHAMUR,Kancheepuram,M. Babu
146,KANCHEEPURAM,Cheyyur,Puthirankottai,CHITHAMUR,Kancheepuram,M. Babu
147,KANCHEEPURAM,Cheyyur,Puthur,CHITHAMUR,Kancheepuram,M. Babu
148,KANCHEEPURAM,Cheyyur,Sirunagar,CHITHAMUR,Kancheepuram,M. Babu
149,KANCHEEPURAM,Cheyyur,Sirumailur,CHITHAMUR,Kancheepuram,M. Babu
150,KANCHEEPURAM,Cheyyur,Sothupakkam,CHITHAMUR,Kancheepuram,M. Babu
151,KANCHEEPURAM,Cheyyur,Thandalam,CHITHAMUR,Kancheepuram,M. Babu
152,KANCHEEPURAM,Cheyyur,Thenpakkam,CHITHAMUR,Kancheepuram,M. Babu
153,KANCHEEPURAM,Cheyyur,Vannianallur,CHITHAMUR,Kancheepuram,M. Babu
154,KANCHEEPURAM,Cheyyur,Vedal,CHITHAMUR,Kancheepuram,M. Babu
155,KANCHEEPURAM,Cheyyur,Vilangadu,CHITHAMUR,Kancheepuram,M. Babu
156,KANCHEEPURAM,Cheyyur,57. Kolathur,CHITHAMUR,Kancheepuram,M. Babu
157,KANCHEEPURAM,Kancheepuram,Ariyaperumpakkam,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
158,KANCHEEPURAM,Kancheepuram,Damal,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
159,KANCHEEPURAM,Kancheepuram,Karuppadithattadai,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
160,KANCHEEPURAM,Kancheepuram,Keelambi,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
161,KANCHEEPURAM,Kancheepuram,Kilar,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
162,KANCHEEPURAM,Kancheepuram,Keelkadirpur,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
163,KANCHEEPURAM,Kancheepuram,Konerikuppam,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
164,KANCHEEPURAM,Kancheepuram,Kooram,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
165,KANCHEEPURAM,Kancheepuram,Melkadirpur,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
166,KANCHEEPURAM,Kancheepuram,Melottivakkam,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
167,KANCHEEPURAM,Kancheepuram,Musaravakkam,KANCHEEPURAM,Kancheepuram,C.V.M.P. Ezhilarasan
